code,code_desc,p1,p2,p3,p4,p5
A000,Cholera due to Vibrio cholerae 01 biovar cholerae,,Cholera,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A001,Cholera due to Vibrio cholerae 01 biovar eltor,,Cholera,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A009,Cholera unspecified,,Cholera,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0100,Typhoid fever unspecified,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0101,Typhoid meningitis,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0102,Typhoid fever with heart involvement,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0103,Typhoid pneumonia,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0104,Typhoid arthritis,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0105,Typhoid osteomyelitis,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0109,Typhoid fever with other complications,Typhoid fever,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A010,Typhoid fever,,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A011,Paratyphoid fever A,,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A012,Paratyphoid fever B,,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A013,Paratyphoid fever C,,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A014,Paratyphoid fever unspecified,,Typhoid and paratyphoid fevers,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A020,Salmonella enteritis,,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A021,Salmonella sepsis,,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0220,Localized salmonella infection unspecified,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0221,Salmonella meningitis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0222,Salmonella pneumonia,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0223,Salmonella arthritis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0224,Salmonella osteomyelitis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0225,Salmonella pyelonephritis,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A0229,Salmonella with other localized infection,Localized salmonella infections,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A022,Localized salmonella infections,,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A028,Other specified salmonella infections,,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A029,Salmonella infection unspecified,,Other salmonella infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A030,Shigellosis due to Shigella dysenteriae,,Shigellosis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A031,Shigellosis due to Shigella flexneri,,Shigellosis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A032,Shigellosis due to Shigella boydii,,Shigellosis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A033,Shigellosis due to Shigella sonnei,,Shigellosis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A038,Other shigellosis,,Shigellosis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A039,Shigellosis unspecified,,Shigellosis,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A040,Enteropathogenic Escherichia coli infection,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
A041,Enterotoxigenic Escherichia coli infection,,Other bacterial intestinal infections,Intestinal infectious diseases,Certain infectious and parasitic diseases,root
