code,code_desc,inclusions,exclusions,block,category,chapter
A00,cholera,,,cholera,intestinal infectious diseases,certain infectious and parasitic diseases
A000,"cholera due to vibrio cholerae 01, biovar cholerae",['classical cholera'],,cholera,intestinal infectious diseases,certain infectious and parasitic diseases
A001,"cholera due to vibrio cholerae 01, biovar eltor",['cholera eltor'],,cholera,intestinal infectious diseases,certain infectious and parasitic diseases
A009,"cholera, unspecified",,,cholera,intestinal infectious diseases,certain infectious and parasitic diseases
A01,typhoid and paratyphoid fevers,,,typhoid and paratyphoid fevers,intestinal infectious diseases,certain infectious and parasitic diseases
A010,typhoid fever,['infection due to salmonella typhi'],,typhoid and paratyphoid fevers,intestinal infectious diseases,certain infectious and parasitic diseases
A011,paratyphoid fever a,,,typhoid and paratyphoid fevers,intestinal infectious diseases,certain infectious and parasitic diseases
A012,paratyphoid fever b,,,typhoid and paratyphoid fevers,intestinal infectious diseases,certain infectious and parasitic diseases
A013,paratyphoid fever c,,,typhoid and paratyphoid fevers,intestinal infectious diseases,certain infectious and parasitic diseases
A014,"paratyphoid fever, unspecified",['infection due to salmonella paratyphi nos'],,typhoid and paratyphoid fevers,intestinal infectious diseases,certain infectious and parasitic diseases
A02,other salmonella infections,,,other salmonella infections,intestinal infectious diseases,certain infectious and parasitic diseases
A020,salmonella enteritis,['salmonellosis'],,other salmonella infections,intestinal infectious diseases,certain infectious and parasitic diseases
A021,salmonella sepsis,,,other salmonella infections,intestinal infectious diseases,certain infectious and parasitic diseases
A022,localized salmonella infections,"['salmonella: arthritis', 'salmonella: meningitis', 'salmonella: osteomyelitis', 'salmonella: pneumonia', 'salmonella: renal tubulo-interstitial disease']",,other salmonella infections,intestinal infectious diseases,certain infectious and parasitic diseases
A028,other specified salmonella infections,,,other salmonella infections,intestinal infectious diseases,certain infectious and parasitic diseases
A029,"salmonella infection, unspecified",,,other salmonella infections,intestinal infectious diseases,certain infectious and parasitic diseases
A03,shigellosis,,,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases
A030,shigellosis due to shigella dysenteriae,['group a shigellosis [shiga-kruse dysentery]'],,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases
A031,shigellosis due to shigella flexneri,['group b shigellosis'],,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases
A032,shigellosis due to shigella boydii,['group c shigellosis'],,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases
A033,shigellosis due to shigella sonnei,['group d shigellosis'],,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases
A038,other shigellosis,,,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases
A039,"shigellosis, unspecified",['bacillary dysentery nos'],,shigellosis,intestinal infectious diseases,certain infectious and parasitic diseases
A04,other bacterial intestinal infections,,,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A040,enteropathogenic escherichia coli infection,,,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A041,enterotoxigenic escherichia coli infection,,,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A042,enteroinvasive escherichia coli infection,,,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A043,enterohaemorrhagic escherichia coli infection,,,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A044,other intestinal escherichia coli infections,['escherichia coli enteritis nos'],,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A045,campylobacter enteritis,,,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A046,enteritis due to yersinia enterocolitica,,['extraintestinal yersiniosis'],other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A047,enterocolitis due to clostridium difficile,"['foodborne intoxication by clostridium difficile', 'pseudomembranous colitis']",,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
A048,other specified bacterial intestinal infections,,,other bacterial intestinal infections,intestinal infectious diseases,certain infectious and parasitic diseases
