code,code_desc,inclusions,exclusions,sub_sub_block,sub_block,block,category,chapter
1A00,cholera,['cholera syndrome'],,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A01,intestinal infection due to other vibrio,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A02,intestinal infections due to shigella,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A03,intestinal infections due to escherichia coli,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A030,enteropathogenic escherichia coli infection,,,,intestinal infections due to escherichia coli,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A031,enterotoxigenic escherichia coli infection,,,,intestinal infections due to escherichia coli,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A032,enteroinvasive escherichia coli infection,,,,intestinal infections due to escherichia coli,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A033,enterohaemorrhagic escherichia coli infection,,,,intestinal infections due to escherichia coli,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A03Y,intestinal infections due to other specified escherichia coli,,,,intestinal infections due to escherichia coli,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A03Z,"intestinal infections due to escherichia coli, unspecified",,,,intestinal infections due to escherichia coli,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A04,intestinal infections due to clostridioides difficile,['pseudomembranous colitis'],['necrotising enterocolitis of newborn'],,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A05,intestinal infections due to yersinia enterocolitica,,['extraintestinal yersiniosis'],,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A06,gastroenteritis due to campylobacter,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A07,typhoid fever,,,,,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A070,typhoid peritonitis,,,,typhoid fever,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A07Y,other specified typhoid fever,,,,typhoid fever,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
1A07Z,"typhoid fever, unspecified",,,,typhoid fever,bacterial intestinal infections,gastroenteritis or colitis of infectious origin,certain infectious or parasitic diseases
